                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8651,                 3.5022,                 4.2789,                0.00333,                      1,                0.01359,                0.00814,                 2.1075,                 3.2962,                 4.1587,                 0.0991,                 0.0001,                 0.0001
                      2,                 2.9155,                 3.4348,                 4.2408,                0.00333,                      1,                0.02208,                0.01159,                 2.1075,                 3.2961,                 4.1586,               0.097299,             0.00029941,             0.00029941
                      3,                 2.7542,                 3.4748,                 4.2735,                0.00333,                      1,                0.02714,                0.01495,                 2.1803,                 3.2781,                 4.0119,               0.095498,             0.00049802,             0.00049802
                      4,                 2.7658,                 3.2332,                 4.0878,                0.00333,                      1,                0.02714,                0.01495,                 2.0688,                 4.1052,                 3.7927,               0.093696,             0.00069584,             0.00069584
                      5,                 3.0346,                 3.0824,                 3.9614,                0.00333,                      1,                0.02714,                0.01495,                 2.1041,                 4.1054,                 3.6486,               0.091893,             0.00089287,             0.00089287
                      6,                 3.0756,                 3.2151,                 3.8454,                0.00333,                      1,                0.02927,                0.01728,                 2.3316,                  3.373,                 3.5525,               0.090089,              0.0010891,              0.0010891
                      7,                 2.7097,                 2.9887,                 3.6015,                0.00333,                      1,                0.04242,                 0.0117,                 2.6404,                 3.3792,                 3.5152,               0.088285,              0.0012846,              0.0012846
                      8,                 2.7818,                 2.9532,                 3.4598,                0.00333,                      1,                0.04235,                0.01068,                 2.6639,                 3.3216,                 3.4219,               0.086479,              0.0014792,              0.0014792
                      9,                 2.7274,                 3.0772,                 3.3273,                0.00333,                      1,                0.04251,                0.01246,                  2.615,                 3.3368,                 3.3595,               0.084673,              0.0016731,              0.0016731
                     10,                 2.7893,                  2.876,                 3.3562,                0.00333,                      1,                0.06835,                0.02393,                 2.5744,                 3.3053,                 3.3061,               0.082866,              0.0018661,              0.0018661
                     11,                 2.6487,                 2.7407,                  3.331,                0.00333,                      1,                0.29081,                 0.1201,                 2.4459,                 3.6755,                  3.231,               0.081058,              0.0020584,              0.0020584
                     12,                 2.6858,                 2.5929,                  3.255,                0.01983,                      1,                0.18072,                0.05185,                 2.2877,                  7.083,                 3.1669,                0.07925,              0.0022499,              0.0022499
                     13,                 2.8377,                  2.795,                 3.4484,                0.02523,                      1,                 0.1449,                0.05824,                 2.2066,                 29.395,                 3.1317,               0.077441,              0.0024406,              0.0024406
                     14,                 2.5326,                 2.6103,                 3.1958,                 0.0203,                      1,                0.17117,                0.05393,                 2.2957,                 86.267,                 3.3478,               0.075631,              0.0026305,              0.0026305
                     15,                 2.8586,                 2.6349,                 3.2804,                0.01779,                      1,                0.07525,                0.03216,                 2.3068,                 149.86,                 3.6488,                0.07382,              0.0028196,              0.0028196
                     16,                 2.7442,                 2.5161,                 3.3564,                0.01563,                      1,                0.02849,                0.01262,                  2.298,                 227.26,                 4.1729,               0.072008,              0.0030079,              0.0030079
                     17,                 2.5211,                 2.3428,                 3.1446,                0.01724,                      1,                0.02157,                0.00889,                 2.3542,                  360.6,                 4.9793,               0.070195,              0.0031955,              0.0031955
                     18,                 2.8769,                  2.584,                 3.3844,                0.01471,                      1,                0.01858,                0.00772,                 2.4539,                    475,                 5.9142,               0.068382,              0.0033822,              0.0033822
                     19,                  2.699,                 2.4193,                 3.3006,                0.01471,                      1,                0.01691,                 0.0105,                 2.4701,                  435.9,                 6.1574,               0.066568,              0.0035681,              0.0035681
                     20,                 2.6511,                  2.299,                 3.2419,                0.01233,                      1,                0.01572,                0.00514,                 2.7377,                 516.58,                 9.6584,               0.064753,              0.0037533,              0.0037533
                     21,                 2.5619,                  2.321,                 3.2037,                0.01058,                      1,                0.04522,                0.00795,                 2.7732,                    inf,                 17.998,               0.062938,              0.0039376,              0.0039376
                     22,                 2.6518,                 2.3643,                 3.2396,                 0.0036,                      1,                0.00513,                0.00177,                 2.8216,                    inf,                 33.398,               0.061121,              0.0041212,              0.0041212
                     23,                 2.8492,                 2.3555,                 3.2955,                0.00333,                      1,                0.00532,                0.00148,                 3.3264,                    inf,                 135.55,               0.059304,               0.004304,               0.004304
                     24,                 2.6547,                 2.5086,                 3.2075,                0.00333,                      1,                0.00532,                0.00148,                 3.7275,                    inf,                 416.13,               0.057486,               0.004486,               0.004486
                     25,                  2.652,                 2.3398,                 3.2561,                0.00167,                    0.5,                0.00134,                0.00013,                 3.7134,                    inf,                  759.7,               0.055667,              0.0046672,              0.0046672
                     26,                 2.5793,                 2.1892,                 3.2237,                0.00333,                      1,                0.00406,                0.00087,                 4.1172,                    inf,                 1207.1,               0.053848,              0.0048475,              0.0048475
                     27,                 2.6306,                 2.1025,                 3.1444,                0.00343,                      1,                0.00503,                0.00139,                 4.0515,                    inf,                 1243.6,               0.052027,              0.0050272,              0.0050272
                     28,                 2.7112,                 2.3756,                 3.0934,                0.00343,                      1,                0.00503,                0.00139,                 4.0515,                    inf,                 1243.6,               0.050206,               0.005206,               0.005206
                     29,                  2.531,                 2.3594,                 3.2278,                0.00343,                      1,                0.00503,                0.00139,                 5.4639,                    inf,                   1135,               0.048384,               0.005384,               0.005384
                     30,                 2.6462,                 2.2555,                 3.1809,                0.00343,                      1,                0.00503,                0.00139,                 5.3815,                    inf,                 1144.8,               0.046561,              0.0055612,              0.0055612
                     31,                 2.7324,                 2.1341,                 3.2186,                0.00343,                      1,                0.00503,                0.00139,                 5.3815,                    inf,                 1144.8,               0.044738,              0.0057377,              0.0057377
                     32,                 2.5515,                 2.1236,                 3.1058,                 0.0008,                    0.1,                0.00045,                  5e-05,                 5.1097,                    inf,                 835.32,               0.042913,              0.0059133,              0.0059133
                     33,                 2.5471,                 2.1243,                 3.1446,                 0.0028,                    0.4,                0.00224,                0.00047,                 4.0174,                    inf,                  332.5,               0.041088,              0.0060882,              0.0060882
                     34,                 2.4774,                 2.0867,                 3.1429,                 0.0028,                    0.4,                0.00224,                0.00047,                 4.0174,                    inf,                  332.5,               0.039262,              0.0062622,              0.0062622
                     35,                 2.8099,                 2.2798,                 3.1926,                0.00238,                    0.4,                0.00424,                0.00082,                 3.9614,                    inf,                 234.15,               0.037435,              0.0064355,              0.0064355
                     36,                 2.5384,                 2.2327,                 3.1784,                0.00033,                    0.1,                0.00026,                  3e-05,                 3.9356,                    inf,                  187.6,               0.035608,               0.006608,               0.006608
                     37,                 2.3823,                 2.0294,                 3.0646,                0.00033,                    0.1,                0.00026,                  3e-05,                 3.9356,                    inf,                  187.6,                0.03378,              0.0067797,              0.0067797
                     38,                 2.4528,                 1.8749,                 3.0507,                0.00033,                    0.1,                0.00026,                  3e-05,                 3.9612,                    inf,                 165.39,               0.031951,              0.0069505,              0.0069505
                     39,                 2.5954,                 2.0286,                 3.2161,                0.00033,                    0.1,                0.00026,                  3e-05,                 3.9612,                    inf,                 126.35,               0.030121,              0.0071207,              0.0071207
                     40,                 2.4727,                  1.978,                 3.0579,                0.00033,                    0.1,                0.00026,                  3e-05,                 3.9612,                    inf,                 126.35,                0.02829,                0.00729,                0.00729
                     41,                 2.4025,                 1.9499,                 3.1482,                0.00033,                    0.1,                0.00026,                  3e-05,                 3.9284,                    inf,                  108.2,               0.026458,              0.0074585,              0.0074585
                     42,                 2.4023,                 1.7979,                 3.0711,                0.00033,                    0.1,                0.00026,                  3e-05,                 4.0194,                    inf,                 143.72,               0.024626,              0.0076262,              0.0076262
                     43,                 2.2823,                 1.9622,                 2.9808,                0.00033,                    0.1,                0.00026,                  3e-05,                 4.0194,                    inf,                 143.72,               0.022793,              0.0077931,              0.0077931
                     44,                 2.4954,                 2.1168,                 3.0381,                0.00033,                    0.1,                0.00026,                  3e-05,                 3.3443,                    inf,                 98.274,               0.020959,              0.0079593,              0.0079593
                     45,                  2.702,                 2.0435,                 3.1208,                0.00033,                    0.1,                0.00026,                  3e-05,                 3.3443,                    inf,                 98.274,               0.019125,              0.0081246,              0.0081246
                     46,                 2.3972,                 1.8417,                  3.021,                0.00033,                    0.1,                0.00026,                  3e-05,                 3.8858,                    inf,                 82.981,               0.017289,              0.0082892,              0.0082892
                     47,                 2.2005,                 1.6631,                 2.9796,                0.00033,                    0.1,                0.00026,                  3e-05,                 3.8858,                    inf,                 82.981,               0.015453,               0.008453,               0.008453
                     48,                 2.4222,                 1.8781,                 3.2216,                0.00136,                    0.4,                 0.0014,                0.00025,                 4.0067,                    inf,                 54.899,               0.013616,              0.0086159,              0.0086159
                     49,                 2.3047,                 1.9322,                 3.0708,                0.00136,                    0.4,                 0.0014,                0.00025,                 4.0067,                    inf,                 54.899,               0.011778,              0.0087781,              0.0087781
                     50,                 2.4054,                 1.8283,                 3.0661,                0.00212,                    0.6,                 0.0017,                0.00064,                 3.0248,                    inf,                 29.834,              0.0099395,              0.0089395,              0.0089395
                     51,                 2.3212,                  1.939,                 3.0656,                0.00212,                    0.6,                 0.0017,                0.00064,                 3.0248,                    inf,                 29.834,                0.00901,                0.00901,                0.00901
                     52,                 2.2388,                 1.8385,                 2.9243,                0.00428,                      1,                0.00477,                0.00142,                 2.6199,                    inf,                 20.381,              0.0089902,              0.0089902,              0.0089902
                     53,                 2.6041,                   1.67,                 3.2071,                0.00428,                      1,                0.00477,                0.00142,                 2.6199,                    inf,                 20.381,              0.0089704,              0.0089704,              0.0089704
                     54,                 2.3089,                 1.7621,                 3.0392,                0.00562,                      1,                0.00587,                0.00179,                 2.4981,                 677.72,                 11.945,              0.0089506,              0.0089506,              0.0089506
                     55,                  2.424,                 1.8576,                 3.1179,                0.00562,                      1,                0.00587,                0.00179,                 2.4981,                 677.72,                 11.945,              0.0089308,              0.0089308,              0.0089308
                     56,                 2.4047,                 2.1957,                 2.9485,                0.00444,                    0.9,                0.00431,                0.00147,                 2.5969,                 364.98,                 11.027,               0.008911,               0.008911,               0.008911
                     57,                 2.4711,                 1.7682,                 3.1932,                0.00444,                    0.9,                0.00431,                0.00147,                 2.5969,                 364.98,                 11.027,              0.0088912,              0.0088912,              0.0088912
                     58,                 2.4499,                 1.9543,                 3.0761,                0.02062,                    0.9,                0.02473,                0.01056,                 2.1877,                 14.786,                 5.7765,              0.0088714,              0.0088714,              0.0088714
                     59,                  2.287,                 1.9237,                 2.9735,                0.02062,                    0.9,                0.02473,                0.01056,                 2.1877,                 14.786,                 5.7765,              0.0088516,              0.0088516,              0.0088516
                     60,                 2.3853,                 1.8832,                 3.1227,                0.08831,                    0.7,                0.09848,                0.04741,                 2.0675,                 4.1953,                  3.265,              0.0088318,              0.0088318,              0.0088318
                     61,                 2.3325,                 1.6315,                 2.9854,                0.08831,                    0.7,                0.09848,                0.04741,                 2.0675,                 4.1953,                  3.265,               0.008812,               0.008812,               0.008812
                     62,                 2.1014,                 1.4807,                 2.9609,                0.29395,                    0.6,                0.33393,                0.18191,                 2.0785,                 4.7591,                 3.1027,              0.0087922,              0.0087922,              0.0087922
                     63,                 2.3019,                 1.9553,                 2.9048,                0.29395,                    0.6,                0.33393,                0.18191,                 2.0785,                 4.7591,                 3.1027,              0.0087724,              0.0087724,              0.0087724
                     64,                 2.2754,                 1.7418,                 3.0163,                  0.445,                0.40101,                0.46125,                0.22296,                  2.267,                 5.3581,                 3.5466,              0.0087526,              0.0087526,              0.0087526
                     65,                 2.3007,                 1.7251,                 2.9082,                  0.445,                0.40101,                0.46125,                0.22296,                  2.267,                 5.3581,                 3.5466,              0.0087328,              0.0087328,              0.0087328
                     66,                 2.3097,                 1.7364,                 2.9388,                 0.0712,                    0.7,                0.07217,                 0.0272,                 2.3891,                 10.803,                 3.9787,               0.008713,               0.008713,               0.008713
                     67,                 2.1006,                 1.7114,                 2.8592,                 0.0712,                    0.7,                0.07217,                 0.0272,                 2.3891,                 10.803,                 3.9787,              0.0086932,              0.0086932,              0.0086932
                     68,                 2.3153,                  1.835,                 3.0108,                0.05434,                    0.9,                0.05587,                0.02068,                 2.3912,                 24.706,                 4.1146,              0.0086734,              0.0086734,              0.0086734
                     69,                 2.1823,                 1.5764,                 2.8205,                0.05434,                    0.9,                0.05587,                0.02068,                 2.3912,                 24.706,                 4.1146,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.9958,                 1.4757,                 2.8577,                0.03807,                      1,                0.05279,                 0.0224,                 2.2031,                 74.201,                 4.1252,              0.0086338,              0.0086338,              0.0086338
                     71,                 2.2618,                 1.7011,                 2.8997,                0.03807,                      1,                0.05279,                 0.0224,                 2.2031,                 74.201,                 4.1252,               0.008614,               0.008614,               0.008614
                     72,                 2.2118,                 1.8111,                 2.9217,                0.03198,                      1,                 0.0706,                0.02952,                 2.1285,                 117.85,                 3.8863,              0.0085942,              0.0085942,              0.0085942
                     73,                 2.2112,                 1.6002,                  2.843,                0.03198,                      1,                 0.0706,                0.02952,                 2.1285,                 117.85,                 3.8863,              0.0085744,              0.0085744,              0.0085744
                     74,                 2.3559,                 1.5928,                 2.7618,                0.01271,                      1,                0.08287,                0.03355,                 2.0666,                 252.21,                 4.1734,              0.0085546,              0.0085546,              0.0085546
                     75,                 2.0291,                 1.7926,                 2.7645,                0.01271,                      1,                0.08287,                0.03355,                 2.0666,                 252.21,                 4.1734,              0.0085348,              0.0085348,              0.0085348
                     76,                 2.2192,                 1.7905,                 2.9057,                0.08182,                    0.9,                0.09217,                0.04401,                 1.9016,                 217.55,                 4.0947,               0.008515,               0.008515,               0.008515
                     77,                 2.2736,                  1.742,                 2.9564,                0.08182,                    0.9,                0.09217,                0.04401,                 1.9016,                 217.55,                 4.0947,              0.0084952,              0.0084952,              0.0084952
                     78,                 2.1901,                  1.538,                 2.8385,                0.10753,                      1,                0.11391,                0.05369,                 1.8951,                 134.16,                  3.995,              0.0084754,              0.0084754,              0.0084754
                     79,                 2.1203,                 1.6271,                 2.7356,                0.10753,                      1,                0.11391,                0.05369,                 1.8951,                 134.16,                  3.995,              0.0084556,              0.0084556,              0.0084556
                     80,                 2.2114,                 1.6502,                 2.9306,                0.13699,                      1,                0.25174,                0.12266,                 1.9297,                 80.859,                 3.7789,              0.0084358,              0.0084358,              0.0084358
                     81,                 2.2138,                 1.6462,                  2.844,                0.13699,                      1,                0.25174,                0.12266,                 1.9297,                 80.859,                 3.7789,               0.008416,               0.008416,               0.008416
                     82,                 2.1513,                 1.6895,                 2.8172,                0.19231,                      1,                0.37192,                  0.123,                 2.1117,                 63.919,                 3.5904,              0.0083962,              0.0083962,              0.0083962
                     83,                 2.1021,                 1.7345,                 2.8122,                0.19231,                      1,                0.37192,                  0.123,                 2.1117,                 63.919,                 3.5904,              0.0083764,              0.0083764,              0.0083764
